Módulo de Análise: Origem de Dados da Coleta;;;;;;;;;
Data de solicitação 02/03/2020;;;;;;;;;
Período Solicitado de 01/02/2020 até 29/02/2020;;;;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Ativa G (kWh);Reativa C (kVArh);Reativa G (kVArh);Qualidade;Origem;
MILHAO;GOMIXGENTR101 (L);01/02/2020;1;1.991,62;0;599,789;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;2;2.005,49;0;589,979;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;3;2.045,82;0;610,233;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;4;2.074,01;0;618,423;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;5;2.053,97;0;608,75;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;6;2.039,20;0;607,52;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;7;1.863,44;0;549,797;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;8;1.941,64;0;576,443;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;9;2.097,24;0;604,176;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;10;2.151,95;0;613,498;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;11;2.130,43;0;608,76;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;12;2.057,19;0;582,765;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;13;2.002,64;0;554,647;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;14;2.067,11;0;562,237;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;15;2.075,23;0;551,566;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;16;1.882,86;0;510,194;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;17;2.086,38;0;557,208;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;18;2.041,31;0;550,253;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;19;2.003,57;0;538,907;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;20;1.958,72;0;522,774;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;21;1.840,52;0;509,715;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;22;1.167,43;0;365,399;4,496;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;23;51,451;0;30,932;15,053;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);01/02/2020;24;40,245;0;33,048;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;1;40,397;0;33,677;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;2;39,735;0;35,044;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;3;38,949;0;35,378;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;4;38,777;0;32,764;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;5;38,788;0;33,677;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;6;38,093;0;33,726;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;7;36,92;0;33,916;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;8;37,099;0;30,384;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;9;37,128;0;26,042;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;10;37,851;0;23,94;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;11;42,272;0;23,805;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;12;40,286;0;22,438;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;13;42,199;0;23,988;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;14;43,731;0;24,023;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;15;61,939;0;28,685;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;16;107,656;0;39,493;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;17;61,441;0;31,252;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;18;39,806;0;24,697;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;19;43,881;0;25,437;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;20;41,903;0;22,947;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;21;44,278;0;24,401;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;22;62,209;0;30,032;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;23;266,774;0;75,616;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);02/02/2020;24;864,488;0;325,949;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;1;1.315,43;0;439,959;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;2;1.573,98;0;523,428;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;3;1.855,61;0;582,106;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;4;1.577,35;0;480,748;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;5;1.956,37;0;578,105;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;6;2.006,66;0;587,864;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;7;2.007,79;0;588,735;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;8;2.084,93;0;599,09;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;9;2.261,07;0;664,373;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;10;2.296,90;0;655,09;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;11;2.291,90;0;621,229;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;12;2.270,46;0;612,401;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;13;2.210,79;0;605,216;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;14;1.945,22;0;543,423;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;15;2.163,77;0;613,687;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;16;1.780,01;0;489,335;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;17;1.828,79;0;551,123;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;18;1.780,42;0;540,083;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;19;195,988;0;45,868;17,931;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;20;222,824;0;55,568;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;21;170,46;0;47,392;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;22;1.499,87;0;442,865;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;23;1.865,32;0;555,984;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);03/02/2020;24;1.278,57;0;331,913;1,739;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;1;1.228,09;0;334,881;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;2;1.581,96;0;515,019;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;3;1.656,00;0;536,629;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;4;1.790,80;0;546,04;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;5;2.009,12;0;577,764;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;6;2.054,17;0;579,115;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;7;2.084,70;0;588,168;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;8;2.008,20;0;554,396;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;9;1.234,87;0;321,583;1,846;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;10;422,97;0;80,657;1,356;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;11;380,1;0;70,242;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;12;331,198;0;84,789;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;13;247,703;0;74,572;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;14;197,118;0;68,314;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;15;353,822;0;114,989;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;16;339,162;0;101,163;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;17;326,676;0;94,892;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;18;295,242;0;88,975;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;19;221,685;0;57,594;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;20;210,478;0;67,175;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;21;175,807;0;66,785;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;22;857,932;0;232,89;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;23;1.658,40;0;504,016;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);04/02/2020;24;1.659,67;0;495,244;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;1;1.803,17;0;542,892;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;2;1.803,05;0;539,329;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;3;1.768,82;0;554,65;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;4;1.914,70;0;596,245;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;5;1.999,74;0;602,274;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;6;1.983,64;0;571,23;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;7;2.008,56;0;586,165;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;8;2.017,25;0;585,083;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;9;2.108,74;0;629,619;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;10;1.284,79;0,006;388,803;0,082;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;11;1.706,23;0;521,579;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;12;1.872,33;0;561,789;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;13;1.939,13;0;580,501;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;14;1.997,62;0;597,486;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;15;2.197,15;0;652,397;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;16;1.893,01;0;531,527;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;17;1.378,43;0;270,963;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;18;1.885,50;0;567,972;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;19;243,151;0;80,799;19,974;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;20;141,267;0;43,654;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;21;167,639;0;51,49;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;22;1.545,59;0;507,933;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;23;1.980,18;0;607,05;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);05/02/2020;24;1.895,60;0;579,624;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;1;2.019,35;0;623,974;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;2;2.060,41;0;646,753;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;3;2.043,71;0;645,919;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;4;2.087,16;0;658,916;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;5;2.105,47;0;658,649;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;6;1.715,63;0;525,491;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;7;2.058,14;0;632,253;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;8;2.076,39;0;643,211;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;9;1.895,66;0;596,441;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;10;1.882,49;0;592,569;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;11;1.846,21;0;575,206;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;12;1.113,43;0;384,614;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;13;1.242,02;0;424,437;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;14;1.846,60;0;570,74;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;15;1.537,18;0;462,072;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;16;1.706,47;0;529,608;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;17;2.026,90;0;605,08;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;18;1.986,71;0;596,596;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;19;247,272;0;58,088;15,774;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;20;207,542;0;55,843;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;21;154,535;0;46,685;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;22;1.291,66;0;430,545;0,225;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;23;1.782,57;0;546,291;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);06/02/2020;24;1.892,78;0;571,753;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;1;2.008,27;0;620,64;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;2;1.782,90;0;558,603;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;3;1.654,28;0;528,543;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;4;1.960,87;0;610,663;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;5;1.838,22;0;569,29;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;6;1.963,06;0;598,021;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;7;1.917,50;0;559,369;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;8;1.977,96;0;607,022;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;9;1.852,91;0;579,142;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;10;1.285,67;0;377,856;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;11;881,896;0;206,575;6,667;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;12;639,298;0;94,289;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;13;636,692;0;95,807;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;14;582,774;0;80,006;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;15;559,664;0;88,568;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;16;555,273;0;93,093;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;17;570,002;0;101,973;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;18;489,746;0;105,004;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;19;240,367;0;57,48;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;20;261,278;0;60,725;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;21;210,865;0;65,035;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;22;1.003,80;0;340,501;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;23;1.760,82;0;565,85;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);07/02/2020;24;1.937,69;0;596,472;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);08/02/2020;1;2.018,88;0;625,021;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);08/02/2020;2;2.028,23;0;625,068;0;Completo;COLETA DIÁRIA;
MILHAO;GOMIXGENTR101 (L);08/02/2020;3;2.014,15;0;617,163;0;Completo;COLETA DIÁRIA;
